,County Name,State,Date,Cases,Deaths,Series_Complete_Yes,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct,Booster_Doses_Vax_Pct
1012233,Blount County,AL,2021-12-15,10904,193,16919,29.3,35.3,21.3
1012234,Bullock County,AL,2021-12-15,1538,46,4718,46.7,58.0,21.3
1012235,Butler County,AL,2021-12-15,3480,102,7150,36.8,46.6,21.1
1012236,Calhoun County,AL,2021-12-15,22737,523,50226,44.2,54.5,24.5
1012237,Chambers County,AL,2021-12-15,5849,143,9695,29.2,34.9,25.5
1012238,Cherokee County,AL,2021-12-15,3243,64,7804,29.8,36.5,25.8
1012239,Chilton County,AL,2021-12-15,7177,172,15024,33.8,41.2,20.3
1012240,Choctaw County,AL,2021-12-15,957,30,7771,61.7,76.7,25.3
1012241,Clarke County,AL,2021-12-15,4870,87,11304,47.9,59.6,23.9
1012242,Clay County,AL,2021-12-15,2540,69,5332,40.3,48.8,20.8
1012243,Cleburne County,AL,2021-12-15,2572,60,4418,29.6,35.8,25.1
1012244,Coffee County,AL,2021-12-15,9489,194,19436,37.1,45.6,21.1
1012245,Colbert County,AL,2021-12-15,9441,212,24973,45.2,53.8,25.1
1012246,Conecuh County,AL,2021-12-15,1946,62,4788,39.7,52.1,20.2
1012247,Coosa County,AL,2021-12-15,1884,48,4044,37.9,45.1,27.5
1012248,Covington County,AL,2021-12-15,7026,197,13279,35.8,44.0,21.0
1012249,Crenshaw County,AL,2021-12-15,2635,79,4417,32.1,39.1,22.6
1012250,Cullman County,AL,2021-12-15,16380,307,30247,36.1,42.6,25.7
1012251,Dale County,AL,2021-12-15,9110,193,24806,50.4,58.7,15.7
1012252,Dallas County,AL,2021-12-15,5339,211,15491,41.6,54.7,26.2
1012253,DeKalb County,AL,2021-12-15,13202,275,22549,31.5,39.0,23.9
1012254,Elmore County,AL,2021-12-15,16117,296,33845,41.7,51.8,20.0
1012255,Escambia County,AL,2021-12-15,6984,147,12454,34.0,43.8,22.1
1012256,Etowah County,AL,2021-12-15,20183,526,39499,38.6,46.8,25.7
1012257,Fayette County,AL,2021-12-15,3347,86,5315,32.6,38.1,22.9
1012258,Franklin County,AL,2021-12-15,6422,108,12847,41.0,50.0,23.3
1012259,Geneva County,AL,2021-12-15,4696,137,9495,36.1,43.2,22.5
1012260,Greene County,AL,2021-12-15,1312,45,3840,47.3,60.5,33.9
1012261,Hale County,AL,2021-12-15,3226,89,8387,57.2,67.9,26.8
1012262,Henry County,AL,2021-12-15,3246,66,7270,42.3,51.6,22.4
1012263,Houston County,AL,2021-12-15,17941,427,42640,40.3,48.3,22.6
1012264,Jackson County,AL,2021-12-15,10328,199,23626,45.8,55.6,26.6
1012265,Jefferson County,AL,2021-12-15,117065,2012,352753,53.6,66.5,26.6
1012266,Lamar County,AL,2021-12-15,2551,55,5634,40.8,47.4,28.6
1012267,Lauderdale County,AL,2021-12-15,15245,310,40224,43.4,54.1,25.7
1012268,Lawrence County,AL,2021-12-15,4895,131,14620,44.4,52.1,25.5
1012269,Lee County,AL,2021-12-15,25849,266,59440,36.1,42.8,23.9
1012270,Limestone County,AL,2021-12-15,16361,224,33940,34.3,40.0,23.0
1012271,Lowndes County,AL,2021-12-15,1787,68,4364,44.9,58.4,25.7
1012272,Macon County,AL,2021-12-15,2488,68,7979,44.2,55.7,24.8
1012273,Madison County,AL,2021-12-15,54150,752,211260,56.7,69.2,26.2
1012274,Marengo County,AL,2021-12-15,3431,93,9626,51.0,63.2,23.7
1012275,Marion County,AL,2021-12-15,5471,132,10229,34.4,40.6,25.9
1012276,Marshall County,AL,2021-12-15,18981,320,41049,42.4,51.8,23.7
1012277,Mobile County,AL,2021-12-15,74743,1387,189997,46.0,55.8,24.5
1012278,Monroe County,AL,2021-12-15,3391,66,8495,41.0,51.7,23.2
1012279,Montgomery County,AL,2021-12-15,34833,789,111459,49.2,62.1,21.9
1012280,Morgan County,AL,2021-12-15,22801,415,48806,40.8,48.2,26.6
1012281,Perry County,AL,2021-12-15,1423,41,4044,45.3,54.4,27.0
1012282,Pickens County,AL,2021-12-15,3369,91,9152,45.9,56.5,23.8
1012283,Pike County,AL,2021-12-15,5170,110,12898,39.0,47.1,20.9
1012284,Randolph County,AL,2021-12-15,3408,67,7156,31.5,38.4,24.9
1012285,Russell County,AL,2021-12-15,7167,66,21412,36.9,49.4,21.2
1012286,Shelby County,AL,2021-12-15,38752,377,73271,33.7,41.8,22.0
1012287,St. Clair County,AL,2021-12-15,17129,363,32759,36.6,44.0,22.7
1012288,Sumter County,AL,2021-12-15,1408,42,5832,46.9,62.1,25.4
1012289,Talladega County,AL,2021-12-15,14368,304,27519,34.4,42.1,26.1
1012290,Tallapoosa County,AL,2021-12-15,7372,203,14833,36.7,43.5,29.2
1012291,Tuscaloosa County,AL,2021-12-15,36465,648,85495,40.8,49.2,24.4
1012292,Walker County,AL,2021-12-15,12322,386,28235,44.4,53.4,23.7
1012293,Washington County,AL,2021-12-15,2575,51,7093,43.4,52.8,22.8
1012294,Wilcox County,AL,2021-12-15,1791,38,5125,49.4,62.8,27.0
1012295,Winston County,AL,2021-12-15,4833,111,4894,20.7,25.1,24.0
1012296,Arkansas County,AR,2021-12-15,3574,62,9182,52.5,60.7,30.7
1012297,Ashley County,AR,2021-12-15,3269,52,9226,46.9,54.7,24.3
1012298,Baxter County,AR,2021-12-15,6418,195,18794,44.8,51.8,31.3
1012299,Benton County,AR,2021-12-15,44921,657,137293,49.2,59.5,27.8
1012300,Boone County,AR,2021-12-15,6740,133,13091,35.0,41.5,28.4
1012301,Bradley County,AR,2021-12-15,2045,42,5726,53.2,62.0,24.7
1012302,Calhoun County,AR,2021-12-15,610,8,1798,34.7,39.8,25.4
1012303,Carroll County,AR,2021-12-15,4500,78,12445,43.9,52.7,24.7
1012304,Chicot County,AR,2021-12-15,2048,47,5231,51.7,61.5,25.2
1012305,Clark County,AR,2021-12-15,3424,64,10237,45.9,53.4,31.6
1012306,Clay County,AR,2021-12-15,2879,77,6253,43.0,48.7,32.5
1012307,Cleburne County,AR,2021-12-15,4127,97,10291,41.3,47.7,32.7
1012308,Cleveland County,AR,2021-12-15,1473,34,3920,49.3,57.1,31.0
1012309,Columbia County,AR,2021-12-15,3446,75,10605,45.2,54.6,21.8
1012310,Conway County,AR,2021-12-15,3370,48,10577,50.7,57.9,32.5
1012311,Craighead County,AR,2021-12-15,22808,251,46159,41.8,49.8,29.8
1012312,Crawford County,AR,2021-12-15,11238,187,27126,42.9,50.1,25.2
1012313,Crittenden County,AR,2021-12-15,9120,185,19806,41.3,49.8,20.9
1012314,Cross County,AR,2021-12-15,3086,69,7980,48.6,55.9,25.4
1012315,Dallas County,AR,2021-12-15,1154,19,3757,53.6,61.2,30.9
1012316,Desha County,AR,2021-12-15,1978,35,6277,55.3,66.8,27.5
1012317,Drew County,AR,2021-12-15,3004,56,8197,45.0,52.7,29.1
1012318,Faulkner County,AR,2021-12-15,20872,232,57565,45.7,52.5,30.5
1012319,Franklin County,AR,2021-12-15,2849,57,8162,46.1,51.3,25.7
1012320,Fulton County,AR,2021-12-15,1971,71,3799,30.4,35.2,32.4
1012321,Garland County,AR,2021-12-15,16370,409,42485,42.7,50.8,29.2
1012322,Grant County,AR,2021-12-15,2973,51,8021,43.9,50.8,24.8
1012323,Greene County,AR,2021-12-15,10676,130,18324,40.4,46.6,28.8
1012324,Hempstead County,AR,2021-12-15,3108,44,7878,36.6,45.6,15.8
1012325,Hot Spring County,AR,2021-12-15,7877,113,13599,40.3,46.1,29.8
1012326,Howard County,AR,2021-12-15,2597,39,6779,51.3,59.9,21.3
1012327,Independence County,AR,2021-12-15,7128,167,14406,38.1,44.6,33.4
1012328,Izard County,AR,2021-12-15,2799,56,4856,35.6,41.5,31.7
1012329,Jackson County,AR,2021-12-15,4651,47,6001,35.9,42.6,33.5
1012330,Jefferson County,AR,2021-12-15,12570,234,27285,40.8,52.5,24.7
1012331,Johnson County,AR,2021-12-15,4786,61,12278,46.2,54.1,24.2
1012332,Lafayette County,AR,2021-12-15,872,28,2601,39.3,46.1,22.3
1012333,Lawrence County,AR,2021-12-15,3546,62,7152,43.6,51.6,27.4
1012334,Lee County,AR,2021-12-15,2226,53,2763,31.2,38.9,27.3
1012335,Lincoln County,AR,2021-12-15,3774,58,4263,32.7,38.8,23.4
1012336,Little River County,AR,2021-12-15,2142,84,4531,37.0,45.2,18.9
1012337,Logan County,AR,2021-12-15,3775,53,9555,44.5,50.5,26.4
1012338,Lonoke County,AR,2021-12-15,12717,177,32630,44.5,51.7,25.5
1012339,Madison County,AR,2021-12-15,2790,44,6697,40.4,47.3,27.3
1012340,Marion County,AR,2021-12-15,2482,67,5691,34.1,40.1,29.5
1012341,Miller County,AR,2021-12-15,6759,151,12416,28.7,37.3,7.4
1012342,Mississippi County,AR,2021-12-15,8888,153,15439,38.0,44.9,24.5
1012343,Monroe County,AR,2021-12-15,1221,25,3486,52.0,64.1,27.4
1012344,Montgomery County,AR,2021-12-15,1183,50,3127,34.8,40.6,30.3
1012345,Nevada County,AR,2021-12-15,1433,41,3380,41.0,53.2,16.1
1012346,Newton County,AR,2021-12-15,1297,41,2484,32.0,38.4,31.4
1012347,Ouachita County,AR,2021-12-15,3543,88,12030,51.4,59.2,27.6
1012348,Perry County,AR,2021-12-15,1635,23,5115,48.9,56.0,24.6
1012349,Phillips County,AR,2021-12-15,3285,79,8206,46.1,54.2,27.4
1012350,Pike County,AR,2021-12-15,1786,38,4276,39.9,49.2,22.2
1012351,Poinsett County,AR,2021-12-15,5259,103,9890,42.0,50.0,28.4
1012352,Polk County,AR,2021-12-15,3030,115,6588,33.0,40.5,19.8
1012353,Pope County,AR,2021-12-15,12528,160,29859,46.6,53.6,27.2
1012354,Prairie County,AR,2021-12-15,1311,29,3252,40.3,48.6,23.4
1012355,Pulaski County,AR,2021-12-15,61142,947,211545,54.0,63.6,33.8
1012356,Randolph County,AR,2021-12-15,3593,65,6786,37.8,45.7,28.9
1012357,Saline County,AR,2021-12-15,19327,252,57707,47.1,54.7,28.4
1012358,Scott County,AR,2021-12-15,1782,32,4647,45.2,53.2,20.3
1012359,Searcy County,AR,2021-12-15,1371,26,2918,37.0,42.8,30.7
1012360,Sebastian County,AR,2021-12-15,23736,408,58831,46.0,55.3,24.7
1012361,Sevier County,AR,2021-12-15,4166,61,7178,42.2,49.0,19.1
1012362,Sharp County,AR,2021-12-15,3236,76,6380,36.6,43.6,31.6
1012363,St. Francis County,AR,2021-12-15,4944,72,11721,46.9,54.4,21.1
1012364,Stone County,AR,2021-12-15,1993,46,4320,34.5,40.3,39.5
1012365,Union County,AR,2021-12-15,6130,146,17437,45.1,56.8,23.2
1012366,Van Buren County,AR,2021-12-15,2390,44,6615,40.0,45.5,37.6
1012367,Washington County,AR,2021-12-15,46474,504,122405,51.2,61.7,27.2
1012368,White County,AR,2021-12-15,14267,208,32932,41.8,48.8,25.6
1012369,Woodruff County,AR,2021-12-15,1156,24,3395,53.7,61.5,22.5
1012370,Yell County,AR,2021-12-15,4858,86,9755,45.7,51.4,23.5
1012371,Apache County,AZ,2021-12-15,15800,529,61865,86.1,95.0,36.8
1012372,Cochise County,AZ,2021-12-15,19278,433,73507,58.4,70.9,25.9
1012373,Coconino County,AZ,2021-12-15,26420,401,103436,72.1,84.5,31.4
1012374,Gila County,AZ,2021-12-15,11742,292,29547,54.7,63.7,33.2
1012375,Graham County,AZ,2021-12-15,8818,144,22398,57.7,66.3,25.6
1012376,Greenlee County,AZ,2021-12-15,1425,23,3789,39.9,46.4,30.4
1012377,La Paz County,AZ,2021-12-15,3531,105,9551,45.2,55.3,19.4
1012378,Maricopa County,AZ,2021-12-15,833090,13251,2362526,52.7,61.4,25.8
1012379,Mohave County,AZ,2021-12-15,37439,1113,82035,38.7,47.1,25.7
1012380,Navajo County,AZ,2021-12-15,25897,713,74271,67.0,81.0,31.5
1012381,Pima County,AZ,2021-12-15,166437,3022,658491,62.9,73.3,29.5
1012382,Pinal County,AZ,2021-12-15,85571,1253,227721,49.2,56.7,23.4
1012383,Santa Cruz County,AZ,2021-12-15,10203,202,45154,95.0,95.0,24.6
1012384,Yavapai County,AZ,2021-12-15,34859,895,102769,43.7,53.5,30.1
1012385,Yuma County,AZ,2021-12-15,43487,948,134056,62.7,75.8,22.9
1012386,Alameda County,CA,2021-12-15,124549,1509,1263227,75.6,86.3,35.8
1012387,Alpine County,CA,2021-12-15,110,0,0,0.0,0.0,0.0
1012388,Amador County,CA,2021-12-15,5819,69,20695,52.1,76.7,22.4
1012389,Butte County,CA,2021-12-15,21944,327,109054,49.8,56.3,30.7
1012390,Calaveras County,CA,2021-12-15,4529,91,27373,59.6,83.2,20.1
1012391,Colusa County,CA,2021-12-15,2633,21,11794,54.7,63.6,17.1
1012392,Contra Costa County,CA,2021-12-15,103362,1063,873486,75.7,83.5,36.4
1012393,Del Norte County,CA,2021-12-15,3791,39,10991,39.5,46.4,32.3
1012394,El Dorado County,CA,2021-12-15,16915,170,113819,59.0,66.4,34.7
1012395,Fresno County,CA,2021-12-15,147020,2334,556404,55.7,65.1,26.0
1012396,Glenn County,CA,2021-12-15,3589,34,14341,50.5,58.0,24.7
1012397,Humboldt County,CA,2021-12-15,9885,115,83340,61.5,69.7,33.9
1012398,Imperial County,CA,2021-12-15,36252,790,136046,75.1,95.0,20.2
1012399,Inyo County,CA,2021-12-15,2606,47,0,0.0,0.0,0.0
1012400,Kern County,CA,2021-12-15,133733,1853,431662,48.0,56.2,23.0
1012401,Kings County,CA,2021-12-15,33767,374,64156,41.9,50.6,22.1
1012402,Lake County,CA,2021-12-15,6974,114,35528,55.2,62.6,24.1
1012403,Lassen County,CA,2021-12-15,7062,53,10880,35.6,40.1,22.1
1012404,Los Angeles County,CA,2021-12-15,1484588,27129,6631313,66.1,76.5,30.2
1012405,Madera County,CA,2021-12-15,24569,311,76559,48.7,58.7,25.3
1012406,Marin County,CA,2021-12-15,18529,249,214805,83.0,93.7,44.6
1012407,Mariposa County,CA,2021-12-15,1467,3,0,0.0,0.0,0.0
1012408,Mendocino County,CA,2021-12-15,8213,95,54796,63.2,72.5,32.5
1012409,Merced County,CA,2021-12-15,43927,686,131708,47.4,64.5,16.8
1012410,Modoc County,CA,2021-12-15,595,6,0,0.0,0.0,0.0
1012411,Mono County,CA,2021-12-15,1955,4,0,0.0,0.0,0.0
1012412,Monterey County,CA,2021-12-15,49326,635,278055,64.1,75.8,28.3
1012413,Napa County,CA,2021-12-15,13573,103,98292,71.4,82.7,34.6
1012414,Nevada County,CA,2021-12-15,9985,108,59812,60.0,68.6,36.6
1012415,Orange County,CA,2021-12-15,317806,5836,2111304,66.5,76.0,32.9
1012416,Placer County,CA,2021-12-15,39263,485,249432,62.6,69.4,35.8
1012417,Plumas County,CA,2021-12-15,1962,13,0,0.0,0.0,0.0
1012418,Riverside County,CA,2021-12-15,378719,5402,1327474,53.7,62.0,25.9
1012419,Sacramento County,CA,2021-12-15,167009,2402,958551,61.8,69.8,31.0
1012420,San Benito County,CA,2021-12-15,7891,72,37460,59.6,68.9,28.3
1012421,San Bernardino County,CA,2021-12-15,371581,5963,1138973,52.2,60.0,23.5
1012422,San Diego County,CA,2021-12-15,397076,4399,1858787,55.7,95.0,6.7
1012423,San Joaquin County,CA,2021-12-15,103683,1857,436104,57.2,78.9,15.5
1012424,San Luis Obispo County,CA,2021-12-15,30854,364,159188,56.2,64.7,39.6
1012425,San Mateo County,CA,2021-12-15,55651,573,594359,77.5,88.5,41.7
1012426,Santa Barbara County,CA,2021-12-15,46742,560,290534,65.1,75.0,29.9
1012427,Santa Clara County,CA,2021-12-15,154207,1940,1544415,80.1,90.0,38.5
1012428,Santa Cruz County,CA,2021-12-15,21800,225,199288,72.9,83.1,31.5
1012429,Shasta County,CA,2021-12-15,22806,423,83819,46.5,54.7,28.5
1012430,Sierra County,CA,2021-12-15,199,0,0,0.0,0.0,0.0
1012431,Siskiyou County,CA,2021-12-15,3440,58,21929,50.4,57.4,29.3
1012432,Solano County,CA,2021-12-15,47087,360,273652,61.1,74.0,28.3
1012433,Sonoma County,CA,2021-12-15,43646,406,356806,72.2,82.5,36.3
1012434,Stanislaus County,CA,2021-12-15,82702,1326,301849,54.8,77.7,14.7
1012435,Sutter County,CA,2021-12-15,14426,184,53144,54.8,63.4,23.3
1012436,Tehama County,CA,2021-12-15,8816,136,25081,38.5,44.6,26.6
1012437,Trinity County,CA,2021-12-15,823,17,0,0.0,0.0,0.0
1012438,Tulare County,CA,2021-12-15,70916,1107,223695,48.0,56.5,24.5
1012439,Tuolumne County,CA,2021-12-15,7831,85,30771,56.5,77.1,20.9
1012440,Ventura County,CA,2021-12-15,101594,1188,560675,66.3,75.3,30.6
1012441,Yolo County,CA,2021-12-15,20790,267,142902,64.8,73.7,33.3
1012442,Yuba County,CA,2021-12-15,10416,66,37255,47.4,57.0,19.3
1012443,Adams County,CO,2021-12-15,88002,994,325659,62.9,68.5,30.6
1012444,Alamosa County,CO,2021-12-15,3024,52,8547,52.7,58.9,38.6
1012445,Arapahoe County,CO,2021-12-15,93115,954,413963,63.0,68.3,37.2
1012446,Archuleta County,CO,2021-12-15,1993,8,7705,54.9,61.0,48.5
1012447,Baca County,CO,2021-12-15,581,7,1363,38.1,39.3,38.4
1012448,Bent County,CO,2021-12-15,1941,37,1387,24.9,26.2,46.9
1012449,Boulder County,CO,2021-12-15,36138,290,242165,74.2,80.6,45.0
1012450,Chaffee County,CO,2021-12-15,2770,38,12508,61.4,66.4,50.1
1012451,Cheyenne County,CO,2021-12-15,244,8,573,31.3,32.3,31.7
1012452,Clear Creek County,CO,2021-12-15,926,7,4527,46.7,51.5,41.4
1012453,Conejos County,CO,2021-12-15,1173,44,3708,45.2,50.0,37.7
1012454,Costilla County,CO,2021-12-15,438,13,2232,57.4,58.9,46.9
1012455,Crowley County,CO,2021-12-15,2489,27,1246,20.6,22.1,36.3
1012456,Custer County,CO,2021-12-15,482,13,2303,45.4,49.0,44.2
1012457,Delta County,CO,2021-12-15,4731,114,14031,45.0,49.9,39.6
1012458,Dolores County,CO,2021-12-15,272,5,805,39.2,45.0,40.6
1012459,Douglas County,CO,2021-12-15,47583,334,241238,68.7,75.0,41.2
1012460,Eagle County,CO,2021-12-15,9499,32,42656,77.4,88.6,32.4
1012461,El Paso County,CO,2021-12-15,119167,1349,420644,58.4,66.1,30.7
1012462,Elbert County,CO,2021-12-15,3135,30,9384,35.1,38.0,35.4
1012463,Fremont County,CO,2021-12-15,10431,149,19474,40.7,45.6,31.8
1012464,Garfield County,CO,2021-12-15,9228,76,36232,60.3,66.9,36.4
1012465,Gilpin County,CO,2021-12-15,557,3,3480,55.7,61.2,43.5
1012466,Grand County,CO,2021-12-15,2375,18,9464,60.1,69.0,40.8
1012467,Gunnison County,CO,2021-12-15,2067,12,11577,66.3,73.4,45.6
1012468,Hinsdale County,CO,2021-12-15,67,0,495,60.4,62.9,48.7
1012469,Huerfano County,CO,2021-12-15,890,23,3516,51.0,55.5,39.9
1012470,Jackson County,CO,2021-12-15,125,0,599,43.0,45.0,44.6
1012471,Jefferson County,CO,2021-12-15,76314,1059,429058,73.6,80.1,41.4
1012472,Kiowa County,CO,2021-12-15,278,4,507,36.1,37.3,48.2
1012473,Kit Carson County,CO,2021-12-15,1224,24,2575,36.3,38.9,30.7
1012474,La Plata County,CO,2021-12-15,7272,65,38024,67.6,74.9,47.2
1012475,Lake County,CO,2021-12-15,1227,1,4534,55.8,64.4,33.3
1012476,Larimer County,CO,2021-12-15,47121,391,229083,64.2,70.5,41.6
1012477,Las Animas County,CO,2021-12-15,2315,29,8388,57.8,62.8,36.8
1012478,Lincoln County,CO,2021-12-15,1415,8,1935,33.9,35.3,39.4
1012479,Logan County,CO,2021-12-15,5225,95,8061,36.0,38.4,34.1
1012480,Mesa County,CO,2021-12-15,29383,441,71838,46.6,51.5,39.8
1012481,Mineral County,CO,2021-12-15,151,1,610,79.3,84.5,59.6
1012482,Moffat County,CO,2021-12-15,2235,48,5408,40.7,45.7,30.6
1012483,Montezuma County,CO,2021-12-15,4132,51,15304,58.5,70.6,41.7
1012484,Montrose County,CO,2021-12-15,6909,131,19392,45.4,51.3,41.9
1012485,Morgan County,CO,2021-12-15,4141,121,12846,44.2,49.4,28.4
1012486,Otero County,CO,2021-12-15,3304,114,8341,45.6,49.6,40.1
1012487,Ouray County,CO,2021-12-15,540,6,3037,61.3,69.3,54.1
1012488,Park County,CO,2021-12-15,1811,13,8468,44.9,48.9,40.5
1012489,Phillips County,CO,2021-12-15,601,15,2069,48.5,54.4,27.1
1012490,Pitkin County,CO,2021-12-15,3365,6,13875,78.1,95.0,34.9
1012491,Prowers County,CO,2021-12-15,2021,42,4877,40.1,44.4,32.4
1012492,Pueblo County,CO,2021-12-15,30632,638,88807,52.7,58.3,38.9
1012493,Rio Blanco County,CO,2021-12-15,1256,11,2305,36.4,41.8,33.4
1012494,Rio Grande County,CO,2021-12-15,1928,39,6595,58.5,65.3,38.0
1012495,Routt County,CO,2021-12-15,3915,24,18420,71.8,80.1,48.9
1012496,Saguache County,CO,2021-12-15,827,9,2293,33.6,36.2,40.8
1012497,San Juan County,CO,2021-12-15,106,0,650,89.3,95.0,39.6
1012498,San Miguel County,CO,2021-12-15,1319,5,6372,77.9,90.3,43.9
1012499,Sedgwick County,CO,2021-12-15,362,6,1102,49.0,53.4,46.9
1012500,Summit County,CO,2021-12-15,5555,12,24818,80.0,90.9,32.2
1012501,Teller County,CO,2021-12-15,3457,48,13024,51.3,54.1,43.3
1012502,Washington County,CO,2021-12-15,759,24,1425,29.0,32.5,36.3
1012503,Weld County,CO,2021-12-15,55251,567,182259,56.2,61.0,32.3
1012504,Yuma County,CO,2021-12-15,1437,20,4073,40.7,45.7,33.1
1012505,Fairfield County,CT,2021-12-15,122366,2336,716356,75.9,91.7,30.7
1012506,Hartford County,CT,2021-12-15,111000,2642,632522,70.9,80.9,35.4
1012507,Litchfield County,CT,2021-12-15,20198,354,129701,71.9,81.6,37.0
1012508,Middlesex County,CT,2021-12-15,16939,403,128373,79.0,89.8,38.3
1012509,New Haven County,CT,2021-12-15,117870,2310,619862,72.5,85.7,33.1
1012510,New London County,CT,2021-12-15,32578,513,197323,74.4,84.8,36.2
1012511,Tolland County,CT,2021-12-15,13242,205,95622,63.4,71.2,39.8
1012512,Windham County,CT,2021-12-15,16237,239,69946,59.9,67.9,33.2
1012513,District of Columbia,DC,2021-12-15,69867,1203,446602,63.3,81.9,21.8
1012514,Kent County,DE,2021-12-15,30329,481,91905,50.8,58.5,29.4
1012515,New Castle County,DE,2021-12-15,91873,1085,352791,63.1,75.9,29.2
1012516,Sussex County,DE,2021-12-15,39562,664,147727,63.1,74.7,38.0
1012517,Alachua County,FL,2021-12-15,40321,285,168164,62.5,71.3,31.8
1012518,Baker County,FL,2021-12-15,6023,62,9853,33.7,41.0,15.7
1012519,Bay County,FL,2021-12-15,32055,394,84617,48.4,56.5,22.0
1012520,Bradford County,FL,2021-12-15,5356,58,11340,40.2,47.6,21.5
1012521,Brevard County,FL,2021-12-15,82136,914,364566,60.6,69.9,29.7
1012522,Broward County,FL,2021-12-15,363001,3079,1304373,66.8,79.4,26.3
1012523,Calhoun County,FL,2021-12-15,3014,45,4648,33.0,39.0,23.0
1012524,Charlotte County,FL,2021-12-15,23758,437,117798,62.4,74.9,34.8
1012525,Citrus County,FL,2021-12-15,20793,463,80780,54.0,61.0,35.0
1012526,Clay County,FL,2021-12-15,34204,352,103916,47.4,55.4,25.8
1012527,Collier County,FL,2021-12-15,57780,551,256243,66.6,77.2,30.7
1012528,Columbia County,FL,2021-12-15,15034,170,28488,39.7,46.2,22.0
1012529,DeSoto County,FL,2021-12-15,6964,97,16327,43.0,53.1,21.4
1012530,Dixie County,FL,2021-12-15,2976,24,5500,32.7,42.1,23.3
1012531,Duval County,FL,2021-12-15,166147,1483,549335,57.4,65.6,25.1
1012532,Escambia County,FL,2021-12-15,54242,706,163404,51.3,59.4,23.9
1012533,Flagler County,FL,2021-12-15,14701,114,69101,60.0,68.3,35.9
1012534,Franklin County,FL,2021-12-15,2232,20,5593,46.1,52.0,32.1
1012535,Gadsden County,FL,2021-12-15,8745,99,24949,54.6,61.9,27.9
1012536,Gilchrist County,FL,2021-12-15,3192,44,6446,34.7,40.4,24.6
1012537,Glades County,FL,2021-12-15,1459,19,4395,31.8,37.2,27.5
1012538,Gulf County,FL,2021-12-15,2984,45,6661,48.8,56.6,27.5
1012539,Hamilton County,FL,2021-12-15,2762,25,4880,33.8,39.9,22.7
1012540,Hardee County,FL,2021-12-15,6108,45,10664,39.6,44.6,16.3
1012541,Hendry County,FL,2021-12-15,8042,87,18932,45.1,53.8,15.4
1012542,Hernando County,FL,2021-12-15,28876,482,100670,51.9,58.4,30.9
1012543,Highlands County,FL,2021-12-15,16159,366,52244,49.2,60.4,28.7
1012544,Hillsborough County,FL,2021-12-15,246780,1832,851351,57.8,68.4,24.6
1012545,Holmes County,FL,2021-12-15,3871,49,5414,27.6,33.3,20.5
1012546,Indian River County,FL,2021-12-15,22399,306,101797,63.7,76.2,34.1
1012547,Jackson County,FL,2021-12-15,10202,158,18905,40.7,48.6,23.9
1012548,Jefferson County,FL,2021-12-15,2504,28,8158,57.3,68.5,27.2
1012549,Lafayette County,FL,2021-12-15,2227,26,3170,37.6,42.4,24.0
